tree_id,X,Y,height_m,crown_area_m2
1,204078.08203710892,1902060.6801563997,4.860785484313965,10.515572150703642
2,204072.79455823934,1902060.6439338173,4.611312389373779,3.1706758843601293
3,204082.7538506307,1902059.3761434304,3.9985620975494385,16.92776235394743
4,204074.38804502194,1902058.9414724405,4.680304050445557,12.94113264267992
5,204053.3829919784,1902058.7241369458,2.8510499000549316,1.969046132424463
6,204093.14773032637,1902058.6154691982,2.6952638626098633,2.1868087294301928
7,204102.9621602829,1902058.4705788684,2.400937557220459,1.680445100385071
8,204107.85126745683,1902058.289465956,3.4077956676483154,3.0709773456813085
9,204112.12470928294,1902058.289465956,2.7413313388824463,3.5091261854712146
10,204123.09803871776,1902058.217020791,4.577569484710693,15.852067598174669
11,204062.36446293496,1902057.5287917238,5.878029823303223,13.128723313675128
12,204115.31168284817,1902056.261001337,3.1048083305358887,1.7473480669787325
13,204113.89927410902,1902055.065656115,3.551360845565796,2.458356064008747
14,204049.50792184795,1902054.6309851254,3.497239589691162,7.2268322076139695
15,204058.09102110885,1902054.4136496305,2.146923065185547,0.3712458730149485
16,204097.9281906742,1902054.0876463882,3.523174524307251,9.471361143550265
17,204118.13650032645,1902054.0876463882,4.4657440185546875,4.308026315084283
18,204088.00511389156,1902054.0514238058,4.360179901123047,13.51177559246964
19,204093.54610202202,1902053.9789786409,2.6179494857788086,0.9956735606420513
20,204107.99612989163,1902053.9789786409,4.408544063568115,20.869790087602098
21,204078.3717619785,1902053.9427560582,4.1253485679626465,15.326026626168531
22,204068.52111641323,1902053.8703108933,4.158176898956299,4.388047510345674
23,204116.68787597862,1902053.616752816,4.485612392425537,4.575638181405162
24,204127.1904025004,1902053.399417321,5.146288871765137,30.132571394245783
25,204114.261430196,1902053.2183044087,3.6496338844299316,4.611057398927271
26,204117.08624767425,1902052.0591817694,3.9768245220184326,2.357345702927658
27,204064.32010580454,1902051.4071752846,4.254067897796631,9.657639991455987
28,204122.953176283,1902051.2260623723,2.9383113384246826,5.9163211575222086
29,204059.503429848,1902049.7409364905,3.3909449577331543,3.4356641045832124
30,204062.76283463062,1902049.4149332482,4.3203125,8.873169913501066
31,204098.32656236985,1902049.4149332482,,
